id,source,title,company,primary_location,locations,remote,salary_status,salary_min,salary_max,salary_currency,salary_period,sap_focus,role_family,seniority,modules,skills,posted_at,url,description_excerpt
91823039bbe1a5ee,himalayas,"SAP ABAP Entwickler – Fokus Cloud & API Integration (REST, OData, BTP) – Vollzei",24-LOG GmbH,Germany,Germany,True,Not disclosed,,,USD,annual,SAP-titled role,Technical / Development,Mid / Unspecified,ABAP / Development; BTP / Integration; Fiori / UI5; HCM / SuccessFactors,ABAP; SAP BTP; SAP Fiori; OData; CDS Views; RAP / CAP; German,1785270739,https://himalayas.app/companies/24-log-gmbh/jobs/sap-abap-entwickler-fokus-cloud-api-integration-rest-odata-btp-vollzei,"ÜBER UNS: Wir sind die 24 Log GmbH, ein innovatives und wachsendes Unternehmen im Bereich der SAP Logistik. Unsere Mission ist es, die komplexen Herausforderungen der modernen Logistik mit intelligenten, zielstrebigen und benutzerfreundlichen Lösungen zu meistern. Von der Konzeption über die Realisierung und Implementierung bis hin zum flächendeckenden, internationalen Rollout und Betrieb begleiten wir Ihre Projekte "
1ec45b63763f5f96,himalayas,SAP ABAP Entwickler – Fokus Output Management & Formulare - Vollzeit (m/w/d),24-LOG GmbH,Germany,Germany,True,Not disclosed,,,USD,annual,SAP-titled role,Technical / Development,Mid / Unspecified,ABAP / Development; Fiori / UI5; FI / CO / FICO,ABAP; SAP Fiori; SAPUI5 / UI5; FICO,1785357062,https://himalayas.app/companies/24-log-gmbh/jobs/sap-abap-entwickler-fokus-output-management-formulare-vollzeit-m-w-d,"ÜBER UNS: Wir sind die 24 Log GmbH, ein innovatives und wachsendes Unternehmen im Bereich der SAP Logistik. Unsere Mission ist es, die komplexen Herausforderungen der modernen Logistik mit intelligenten, zielstrebigen und benutzerfreundlichen Lösungen zu meistern. Von der Konzeption über die Realisierung und Implementierung bis hin zum flächendeckenden, internationalen Rollout und Betrieb begleiten wir Ihre Projekte "
61669540675a48ee,himalayas,Senior SAP Logistics Consultant - Vollzeit (m/w/d),24-LOG GmbH,Australia,Australia; Canada; France; Germany; India; Italy; Japan; Spain; United Kingdom; United States,True,Not disclosed,,,,annual,Core SAP delivery role,Technical / Development,Senior,S/4HANA; ABAP / Development; Fiori / UI5; EWM / WM / Logistics,ABAP; S/4HANA; SAP Fiori; SAPUI5 / UI5; German,1783281206,https://himalayas.app/companies/24-log-gmbh/jobs/senior-sap-logistics-consultant-vollzeit-m-w-d,"ÜBER UNS: Wir sind die 24 Log GmbH, ein innovatives und wachsendes Unternehmen im Bereich der SAP Logistik. Unsere Mission ist es, die komplexen Herausforderungen der modernen Logistik mit intelligenten, zielstrebigen und benutzerfreundlichen Lösungen zu meistern. Von der Konzeption über die Realisierung und Implementierung bis hin zum flächendeckenden, internationalen Rollout und Betrieb begleiten wir Ihre Projekte "
c071572274078272,himalayas,Senior SAP Logistics Developer - Vollzeit (m/w/d),24-LOG GmbH,Germany,Germany,True,Not disclosed,,,USD,annual,Core SAP delivery role,Technical / Development,Senior,S/4HANA; ABAP / Development; Fiori / UI5; EWM / WM / Logistics,ABAP; S/4HANA; SAP Fiori; SAPUI5 / UI5; German,1785270738,https://himalayas.app/companies/24-log-gmbh/jobs/senior-sap-logistics-developer-vollzeit-m-w-d,"ÜBER UNS: Wir sind die 24 Log GmbH, ein innovatives und wachsendes Unternehmen im Bereich der SAP Logistik. Unsere Mission ist es, die komplexen Herausforderungen der modernen Logistik mit intelligenten, zielstrebigen und benutzerfreundlichen Lösungen zu meistern. Von der Konzeption über die Realisierung und Implementierung bis hin zum flächendeckenden, internationalen Rollout und Betrieb begleiten wir Ihre Projekte "
59ed809fa5456402,himalayas,SAP ChaRM Implementation SME,3M Consultancy,United States,United States,True,Not disclosed,,,,annual,SAP-titled role,Basis / Security,Lead / Manager,S/4HANA; Basis / Security; HANA / Data,S/4HANA; SAP HANA,1784753448,https://himalayas.app/companies/3m-consultancy/jobs/sap-charm-implementation-sme,"This is a remote position. Job Title: SAP ChaRM Implementation SME Location: Remote. Duration: 12+ Months Contract. Job Description: We are seeking a SAP Change Request Management (ChaRM) Subject Matter Expert for approximately 6 months to support the implementation and related functions of PTC’s UBOS project. The selected candidate will design and implement SAP ChaRM within an SAP HANA Cloud environment, manage mult"
c2a97b237716c826,himalayas,SAP IS-U ABAP Technical Consultant (Utilities),3M Consultancy,India,India,True,Not disclosed,,,,annual,Core SAP delivery role,Technical / Development,Senior,S/4HANA; ABAP / Development; BTP / Integration; HANA / Data; CRM / CX / Commerce,ABAP; S/4HANA; SAP HANA; IDoc,1783010428,https://himalayas.app/companies/3m-consultancy/jobs/sap-is-u-abap-technical-consultant-utilities,"Job Title: SAP IS-U ABAP Technical Consultant (Utilities) Location: India (Remote– Flexible) Experience: 5+ Years Job Description: We are looking for experienced SAP IS-U ABAP Technical Consultants with a strong background in the Utilities domain. The ideal candidate should have hands-on experience in developing and supporting SAP IS-U solutions, with a good understanding of utility business processes such as billing"
6b43edfbd873cfbf,himalayas,SAP Integration Architect,3M Consultancy,United States,United States,True,Disclosed,220000,320000,USD,annual,Core SAP delivery role,Architecture,Lead / Manager,S/4HANA; BTP / Integration,S/4HANA; CPI / Integration Suite; PI/PO; IDoc; Agile / Scrum,1784742731,https://himalayas.app/companies/3m-consultancy/jobs/sap-integration-architect,"We’re looking for an experienced SAP Integration Architect with strong expertise in the SAP Integration Suite (CPI, API Management, Open Connectors) to design and deliver cutting-edge integration solutions across SAP and third-party systems. You’ll work directly with clients, guiding them through complex integration projects, migrations, and cloud-first strategies. What you’ll do Design and implement integration solu"
8036932d68bd5361,himalayas,SAP FI PEM/CONTRACT,ADI Group,Thailand,Thailand,True,Not disclosed,,,,annual,SAP-titled role,Technical / Development,Lead / Manager,FI / CO / FICO,FICO,1783798801,https://himalayas.app/companies/adi-group/jobs/sap-fi-pem-contract,"Company: Global Fintech Leader Location: Remote Position: Mid to Senior Level SAP FI Consultant About the Role: Our client, a prestigious global corporate leader, is seeking a highly skilled SAP FI Consultant to join their dynamic team. This is a mid to senior level position that requires substantial expertise in SAP Financial Accounting (FI) to drive their financial systems and processes to the next level. Key Respo"
1cf49a70a0a27a01,himalayas,SAP Senior SD Functional Consultant,Abacus Consulting,United States,United States,True,Not disclosed,,,,annual,Core SAP delivery role,Technical / Development,Senior,S/4HANA; BTP / Integration; Fiori / UI5; SD / Sales; TM / GTS / Supply Chain,S/4HANA; SAP Fiori; IDoc; SAP SD; SAP TM,1785765298,https://himalayas.app/companies/abacus-consulting/jobs/sap-senior-sd-functional-consultant,"JOB DESCRIPTION Abacus Consulting | SAP Senior SD Functional Consultant WHO WE ARE At Abacus, we specialize in technology, outsourcing, and people solutions, bringing nearly 40 years of experience shaped alongside the organizations we support. As a global professional services leader, our focus remains on providing bespoke solutions that enable organizations to create the future of business and embrace change for sus"
0d0de27a8b1a292b,himalayas,"Senior Manager, Finance Planning Systems (SAC)",AbbVie,United States,United States,True,Disclosed,124500,236500,USD,annual,SAP mentioned,Technical / Development,Lead / Manager,Unspecified SAP,SAP Analytics Cloud,1782945003,https://himalayas.app/companies/abbvie/jobs/senior-manager-finance-planning-systems-sac,"Responsibilities Partner with the Commercial finance planning teams to facilitate continuous improvement efforts towards the planning, forecasting and long-range plan. Partner with project team and supervise consultants with commercial requirements gathering, technical design, development, User acceptance testing, and cutover of an enterprise planning solution. Take responsibility of root cause analysis and process i"
